Loc_short,Loc_long,lat,lon,Elev,Stn_ID
2NW Lake McClellan,Southern Gray County,35.23029,-100.89965,3185 ft,MCCL
2SE Lamesa,Lamesa/Dawson County,32.70592,-101.93617,2956 ft.,LAMS
2S Lesley,Lesley/Hall County,34.65228,-100.81403,2156 ft.,LESL
4S Levelland,Levelland/Hockley County,33.5265,-102.36,3496 ft.,LEVE
1SSE Lomax,Lomax/Howard County,32.10385,-101.63286,2509 ft.,LOMA
3WNW Lubbock-TTU,Lubbock/Lubbock County,33.60408,-101.89919,3232 ft.,LBBW2
3NNW McAdoo,McAdoo/Dickens County,33.77455,-101.03853,3021 ft.,MCAD
1SSW McCamey,McCamey/Upton County,31.12493,-102.22621,2433 ft.,MCCA
1E McLean,McLean/Gray County,35.23719,-100.57492,2863 ft.,MCLE
1NE Memphis,Memphis/Hall County,34.73136,-100.52543,2057 ft.,MEMP
2NW Menard,Menard/Menard County,30.92892,-99.80947,1924 ft,MENA
3NNE Mertzon,Mertzon/Irion County,31.29917,-100.80539,2174 ft.,MERT
1ENE Morton,Morton/Cochran County,33.73476,-102.73978,3754 ft.,MORT
2SSW Muleshoe,Muleshoe/Bailey County,34.20635,-102.7424,3806 ft.,MULE
New Home,New Home/Lynn County,33.32529,-101.91314,3245 ft.,NEWH
1S Northfield,Northfield/Motley County,34.27303,-100.60444,2088 ft.,NORT
4ENE Odell,Odell/Wilbarger County,34.36533,-99.35414,1371 ft,ODEL
1N O'Donnell,O'Donnell/Lynn County,32.97988,-101.8322,3054 ft.,ODON2
6S of Olton,Olton/Lamb County,34.09378,-102.11808,3566 ft.,OLTO
10SW Paducah,Paducah/Cottle County,33.89053,-100.39886,2021 ft.,PADU
4E Palo Duro (JA),Palo Duro/Armstrong,34.82221,-101.1191,2591 ft.,PDJA
1NW Palo Duro Reservoir,Lake Palo Duro/Hansford,36.36382,-101.18185,3034 ft.,PDRE
2E Pampa,Pampa/Gray County,35.5395,-100.92772,3216 ft.,PAMP
1SSW Panhandle,Panhandle/Carson County,35.32955,-101.38583,3457 ft.,PANH
"Persimmon Gap, BBNP",Big Bend NP/Brewster County,29.66039,-103.17512,2869 ft.,PGAP
"Pine Springs, GMNP",Guadalupe Mtns NP/Culberson,31.89132,-104.80997,5571 ft.,GUMO
3N Plains,Plains/Yoakum County,33.22814,-102.83936,3711 ft.,PLAI
1S Plainview,Plainview/Hale County,34.17872,-101.70788,3358 ft.,PLVW
1NE Post,Post/Garza County,33.20033,-101.36804,2598 ft.,POST2
3NNW Quitaque,Caprock Canyons SP/Briscoe,34.41253,-101.06838,2650 ft.,CAPR
1SE Ralls,Ralls/Crosby County,33.6684,-101.37576,3097 ft.,RALL
12W Lubbock (Reese),Reese Center/Lubbock County,33.60759,-102.04597,3343 ft.,REES2
3N Roaring Springs,Roaring S./Motley County,33.93635,-100.8454,2615 ft.,ROAR
11SSW Romero,Romero (Bravo Ranch) Oldham,35.57394,-102.96014,3956 ft.,BRAV
5W Rotan,Rotan/Fisher County,32.84684,-100.54268,2083 ft.,ROTA
7NW San Angelo,San Angelo/Tom Green,31.54263,-100.51328,1957 ft.,SASU
1SW Seagraves,Seagraves/Gaines County,32.93644,-102.57442,3360 ft.,SEAG
7SSW Segovia,Segovia/Kimble County,30.31556,-99.70619,2236 ft.,SEGO
2NNE Seminole,Seminole/Gaines County,32.74075,-102.63581,3313 ft.,SEMI
3NW Seymour,Seymour/Baylor County,33.63233,-99.29098,1302 ft.,SEYM
1SSE Sierra Blanca,Sierra Blanca/Hudspeth,31.16056,-105.35286,4560 ft.,SIER
7ESE Silverton,Silverton/Briscoe County,34.4454,-101.1905,3202 ft.,SILV
2NE Slaton,Slaton/Lubbock County,33.4569,-101.61723,3065 ft.,SLAT
Smyer,Smyer/Hockley County,33.59298,-102.1654,3397 ft.,SMYE
3E Snyder,Snyder/Scurry County,32.71614,-100.86167,2431 ft.,SNYD
3SSW Snyder,Snyder/Scurry County,32.67587,-100.92512,2380 ft.,WTCO
3ENE South Plains,CC SP Trailways/Floyd County,34.24023,-101.25705,3172 ft.,SOUT
1W Spur,Spur/Dickens County,33.48085,-100.87636,2287 ft.,SPUR
5SW St. Lawrence,St. Lawrence/Glasscock County,31.65645,-101.60019,2693 ft.,STLW
5ESE Stamford,Stamford/Jones County,32.90921,-99.72178,1551 ft.,STAM
4WSW Sterling City,Sterling City/Sterling County,31.8261,-101.05538,2354 ft.,STER
1NNW Stinnett,Stinnett/Hutchinson County,35.84392,-101.44713,3322 ft.,STIN
4WNW Stratford,Stratford/Sherman County,36.35652,-102.13498,3767 ft.,STRA
8WSW Sundown,Southeast Cochran County,33.38912,-102.60994,3625 ft.,MALL
11SW Sweetwater,Roscoe/Western Nolan County,32.34587,-100.52778,2485 ft.,SWEE
3NNE Tahoka,Tahoka/Lynn County,33.20747,-101.78025,3104 ft.,TAHO
2WNW Tarzan,Tarzan/Martin County,32.31356,-102.00523,2840 ft.,TARZ
2SW Tatum NM,"Tatum, NM/Lea County",33.23877,-103.35211,4018 ft.,TATU
1SW Throckmorton,Throckmorton County,33.16806,-99.18623,1378 ft.,THRO
2SE Truscott,Truscott/Knox County,33.74172,-99.79072,1528 ft.,TRUS
2ENE Tulia,Tulia/Swisher County,34.54294,-101.7405,3478 ft.,TULI
2WSW Turkey,Turkey/Hall County,34.37896,-100.93175,2450 ft.,VALL
3NNE Umbarger,Umbarger/Randall County,34.98683,-102.08411,3758 ft.,UMBA
3ENE Van Horn,Van Horn/Culberson County,31.05897,-104.79136,3963 ft.,VANH
Vigo Park,Vigo Park/Swisher County,34.65076,-101.49798,3394 ft.,VIGO
2E Wall,Wall/Tom Green County,31.37882,-100.26628,1870 ft.,WALL2
2NNE Weinert,Weinert/Haskell County,33.34468,-99.6659,1504 ft.,WEIN
Welch,Welch/Dawson County,32.9257,-102.13232,3121 ft.,WELC
6NW White River Lake,White River Lake/Crosby County,33.52533,-101.16506,2704 ft.,WHIT
6SSW Wolfforth,Wolfforth/Lubbock County,33.42068,-102.04983,3307 ft.,WOLF
